kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,rmse_r,corr_px,distance_px,rmse_px
298020 KS,IESC UQ,1268,1268,0.106900277,0.028430126,0.831009429,9.691962916,0.638739223
017800 KS,LYFT UW,1084,1084,0.147605273,0.035667393,0.830949445,4.670906924,0.203985279
298050 KS,BECN UW,1268,1268,0.124843007,0.029621395,0.830882392,28.87473068,0.988469053
042660 KS,CSTE UW,2183,2183,0.067839215,0.029090007,0.830714399,2.282200734,0.207170292
298050 KS,CRAI UW,1268,1268,0.090174769,0.028859563,0.830603547,18.73287058,0.818815186
112610 KS,CBZ UN,2183,2183,0.102827421,0.026674449,0.830597536,16.3545573,1.182435278
298050 KS,RSG UN,1268,1268,0.122315377,0.024756956,0.830559086,22.52178101,0.833563409
298020 KS,EFX UN,1268,1268,0.146025759,0.025383424,0.830417653,14.11646153,0.640295707
112610 KS,CRAI UW,2183,2183,0.042097456,0.02986796,0.83038462,36.84508625,1.461231929
112610 KS,FCN UN,2183,2183,0.047900943,0.027468759,0.830380116,16.62370384,1.151994357
298050 KS,KNX UN,1268,1268,0.109079245,0.028228968,0.830305009,29.70145166,1.008578114
298020 KS,AGCO UN,1268,1268,0.150160639,0.027014736,0.830098866,11.73584365,0.590098152
052690 KS,WSC UR,1962,1962,0.056926308,0.026690489,0.830090463,44.76268524,1.422154116
112610 KS,STRL UW,2183,2183,0.053940184,0.033062874,0.829852213,18.74485946,1.128660653
298020 KS,UHAL UN,1268,1268,0.097131048,0.025031034,0.829777943,18.20003385,0.692117611
011200 KS,GTLS UN,1324,1324,0.100733251,0.034295583,0.8296793,49.51492447,2.048629161
298020 KS,TT UN,1268,1268,0.135003498,0.024826222,0.829660797,12.58410988,0.691147464
298050 KS,ITT UN,1268,1268,0.133572981,0.027496853,0.829604694,25.24708253,0.894477504
298020 KS,DOV UN,1268,1268,0.173365763,0.02395683,0.829012095,14.13948186,0.667041812
012450 KS,HWM UN,1708,1708,0.11323424,0.026506079,0.828624063,11.90593074,0.871410804
298050 KS,ATKR UN,1268,1268,0.149960399,0.03135844,0.828404854,41.63098719,1.522862098
112610 KS,GNRC UN,2183,2183,0.087047474,0.031222283,0.828146467,46.60516378,1.420217211
010620 KS,FC UN,2183,2183,0.083437084,0.027820948,0.828133394,4.23718721,0.346216824
298050 KS,AME UN,1268,1268,0.156946225,0.025219644,0.82789736,23.43515165,0.837318367
112610 KS,UHAL UN,1326,1326,0.057302854,0.029034634,0.827824651,68.84106345,2.138152388
010620 KS,WCC UN,2183,2183,0.168223409,0.027605096,0.82777554,10.80991023,0.630718042
112610 KS,TNET UN,2183,2183,0.081649761,0.028708308,0.827703165,54.35749128,1.527412937
